nodeID	PageRank
286	0.000198008373912158
3473	0.000195795722783946
4951	0.000192496885069883
3890	0.000191063729310552
7365	0.000188957714828432
6359	0.000187608957935093
4352	0.000182000450086640
7032	0.000181473363400585
7541	0.000181024193000109
3699	0.000180469107412011
4877	0.000178516631519839
3242	0.000176686051226155
6503	0.000175760107812949
4221	0.000174949320285560
7293	0.000174253366508376
2276	0.000173977492915428
1189	0.000173966145167088
1441	0.000171575098412972
1866	0.000170762923909226
8602	0.000170299977556892
5012	0.000170299163472577
2342	0.000170165138305041
4660	0.000169563986363332
7353	0.000168946525702027
1237	0.000168850866299412
257	0.000168841127099744
8036	0.000168707947143663
8314	0.000168707016754634
7633	0.000168605961836181
2797	0.000168466361812889
6901	0.000167748186307394
5303	0.000167534045398509
9602	0.000167487099486085
7451	0.000167416583200400
2289	0.000167172301895627
6579	0.000166457833119495
1522	0.000166448596275492
7833	0.000166165803393306
7036	0.000165959382204419
3916	0.000165910413116179
1312	0.000165717928557096
2026	0.000165294671924750
8754	0.000165132259134721
9559	0.000164833716531148
3279	0.000164772885157936
4384	0.000164741333648331
5553	0.000164644928083691
248	0.000164552132463695
2568	0.000164456154334889
1279	0.000164440910549895
3683	0.000163650965276198
1169	0.000163546511570548
7016	0.000163263650181046
6180	0.000163199106019859
8914	0.000163118800201939
7846	0.000163104211278438
7497	0.000162859719557850
5798	0.000162421015214197
6898	0.000162408557306251
2730	0.000162156521228814
6655	0.000162153500033130
1890	0.000162134234017574
8065	0.000162111204447457
9287	0.000161958859690242
5421	0.000161608951176576
9367	0.000161412922705845
6500	0.000161323271692642
517	0.000161285891864812
8561	0.000161257526689620
4240	0.000161190653548573
5568	0.000160647127237373
3545	0.000160447006020844
8550	0.000160390110648998
200	0.000160292744251265
9747	0.000159999364426736
2645	0.000159764319850133
3145	0.000159720005961951
1490	0.000159628611761103
9043	0.000159492077262544
614	0.000159491968006153
8517	0.000159481366462622
1340	0.000159464438712362
70	0.000159134862304944
1798	0.000159084747504433
7220	0.000158796165409872
348	0.000158795533570281
1042	0.000158533595222488
7854	0.000157813772706358
9910	0.000157797074126699
8278	0.000157785148109641
472	0.000157644223105006
6158	0.000157621991990809
3340	0.000157541917667552
226	0.000157535685350326
6030	0.000157504727204483
1493	0.000157373887840592
8937	0.000157245473630564
9520	0.000157179961234364
3483	0.000156986280823190
2794	0.000156879326928138
