nodeID	PageRank
286	0.000198008625115859
3473	0.000195796867453885
4951	0.000192495834087930
3890	0.000191062864709931
7365	0.000188956329260816
6359	0.000187610179670434
4352	0.000181998746898747
7032	0.000181471359130267
7541	0.000181024684262168
3699	0.000180467577639557
4877	0.000178515576686759
3242	0.000176686303091511
6503	0.000175762743372243
4221	0.000174949718884319
7293	0.000174255198655684
2276	0.000173978983692882
1189	0.000173965231988360
1441	0.000171573597945279
1866	0.000170764408027993
8602	0.000170299201806912
5012	0.000170298469263935
2342	0.000170165524816595
4660	0.000169561275281728
7353	0.000168945776890485
1237	0.000168847633865404
257	0.000168841074144108
8314	0.000168709602328657
8036	0.000168704981172234
7633	0.000168602963508633
2797	0.000168465666275035
6901	0.000167747659617901
5303	0.000167536159901421
9602	0.000167489302668652
7451	0.000167414774633622
2289	0.000167173482521080
6579	0.000166459049554747
1522	0.000166451412269474
7833	0.000166163334849297
7036	0.000165960393274787
3916	0.000165912958739320
1312	0.000165720487174819
2026	0.000165293671204054
8754	0.000165131497087055
9559	0.000164835585260408
3279	0.000164773835107733
4384	0.000164740410159141
5553	0.000164643628989918
248	0.000164552695418079
2568	0.000164455434184191
1279	0.000164440987765839
3683	0.000163648952608803
1169	0.000163542908492735
7016	0.000163264841022484
6180	0.000163200999724784
8914	0.000163121107098652
7846	0.000163103445634408
7497	0.000162860207452609
5798	0.000162419345139615
6898	0.000162406986458318
2730	0.000162157308006890
6655	0.000162153613625245
1890	0.000162134150446484
8065	0.000162114167302192
9287	0.000161958379145398
5421	0.000161610233867705
9367	0.000161413907461297
6500	0.000161324879699730
517	0.000161284279070658
8561	0.000161256890738050
4240	0.000161193929277339
5568	0.000160647308278089
3545	0.000160446553069910
8550	0.000160387489293465
200	0.000160292970426578
9747	0.000159996840485611
2645	0.000159764592670454
3145	0.000159719009202603
1490	0.000159629561928957
614	0.000159494428634970
9043	0.000159492008236062
8517	0.000159479412601703
1340	0.000159460972157523
70	0.000159136600588885
1798	0.000159085941213903
7220	0.000158795547334151
348	0.000158794279838050
1042	0.000158534364816340
7854	0.000157811302212163
9910	0.000157793686305139
8278	0.000157785207641493
472	0.000157643782007844
6158	0.000157620277318992
3340	0.000157544272163681
226	0.000157533931205436
6030	0.000157505285983354
1493	0.000157374222808935
8937	0.000157246976033146
9520	0.000157180443117791
3483	0.000156986690181115
2794	0.000156879508988172
